GENE	293A_WT_T22_AB_XF498	293A_LKB1_T22_AB	293A_PTEN_T22_AB	293A_VHL_T22_AB	293A_BAP1NUMBER2_16_T25_AB	293A_CDH1NUMBER2_15_T24_AB	293A_NF2NUMBER2_3_T24_AB	293A_WT_T21_AB_XF646	293A_PBRM1_T25_AB	293A_SETD2_T24_AB	293A_WT_T20_AB_XF804	293A_ARID1A_T21_AB	293A_NF1_T24_AB	293A_RB1_T21_AB	293A_TP53_T21_AB	293A_WT_T21_AB_XF821	293A_KEAP1_T22_AB	293A_g53BP1#1_T22_AB
CD48	-8.709	-5.332999999999998	-3.988	-6.0470000000000015	-12.314	-3.153	-1.683	-8.246	4.248	-5.96	-13.247	-5.956	2.291	-9.636000000000001	2.529	-7.851	-4.095	0.206
CD5	-8.248	-8.509	-17.882	-12.178	-11.657	-8.968	-11.123	-15.42	-7.895	-12.838	-14.819	-18.982	-8.186	-15.138	-11.206	-9.297	-15.414000000000001	-19.359
CD52	-9.583	-9.477	-6.591	-7.301	-12.369000000000002	0.09699999999999999	-3.411	-15.539000000000001	-7.353	0.073	-11.918	-9.149	-2.741	-13.197000000000001	-4.127	-6.575	-9.697000000000001	-8.132
CD53	-21.709	-16.680999999999994	-15.505	-9.404	-11.005	-18.542	-18.691	-20.853	-17.692999999999998	-19.647000000000002	-21.511999999999997	-17.694000000000003	-12.964	-15.946	-15.41	-11.589	-21.568	-0.542
CD55	-15.785	-15.842	-20.816	-10.595	-23.463	-28.416	-10.300999999999998	-23.733	-13.857999999999999	-20.775	-19.495	-23.666999999999998	-16.803	-14.458	-13.85	-13.635	-15.918	-9.382
CD58	-9.186	-6.634	-9.91	-11.355	-9.307	-2.74	-7.336	-4.703	-12.759	-8.155	-6.395	-15.106	-4.082	-13.057	-6.33	-3.23	-9.554	-11.904000000000002
CD59	-22.156	-5.294	-24.426	-13.845	-21.601	-25.613000000000003	-17.414	-15.86	-13.11	-16.883	-14.838	-21.866999999999997	-10.852	-4.905	-16.061	-11.937999999999999	-14.222000000000001	-22.781
CD5L	-7.43	-7.723	-2.079	-11.088	-4.3919999999999995	2.88	-5.8260000000000005	0.348	-9.073	-11.345	-1.631	-10.589	-5.691	-8.523	-4.995	-3.0410000000000004	-8.53	-6.956
CD6	-4.353	-8.432	-15.462	-2.476	-15.565	-12.992	-16.026	-17.969	-9.246	-9.922	-13.225	-26.456	-0.873	-13.755	-10.49	-6.297999999999999	-11.834000000000001	-8.293
CD63	-6.28	1.0590000000000002	-1.943	0.7390000000000001	-0.953	5.582999999999999	2.4859999999999998	-0.141	-0.623	-2.9419999999999997	8.767000000000001	-0.163	-2.805	-3.313	1.176	-3.315	7.731	-5.776
CD68	-17.535999999999998	-10.126	-17.868	-12.436	-17.427	-24.538	-10.966	-16.093	-16.132	-15.368	-14.754000000000001	-19.725	-6.007000000000001	0.742	-7.377000000000001	-12.23	5.816	-11.434
CD69	12.121	7.222	6.44	15.876	-1.5030000000000001	7.742000000000001	1.14	7.444	-4.781000000000001	1.653	-0.428	4.27	-1.827	10.708	2.166	9.577	1.8969999999999998	12.235
CD7	-8.596	1.027	-8.533	-5.445	-9.417	-4.234	-2.991	-5.085	-8.842	-2.369	-9.331	-0.818	1.58	2.077	1.831	-2.3409999999999997	-0.315	-9.304
CD70	-12.363	-14.468	-15.038	-18.529	-4.62	-19.992	-17.776	-21.245	-3.305	-13.765	-12.469000000000001	-18.389	-13.681	-8.868	-11.421	-10.031	-8.116	-13.802
CD72	-22.218000000000004	-17.805	-23.449	-15.059	-17.488	-15.587	-21.749000000000002	-23.235	-21.575	-17.897000000000002	-27.42	-31.43	-11.969000000000001	-23.358	-13.693	-18.009	-18.859	-30.328000000000007
CD74	-12.8	-1.59	-7.405	-6.169	-14.353	-11.387	0.7020000000000001	-13.838	-4.7669999999999995	-9.605	-19.059	-16.136	-6.91	-14.833	1.6569999999999998	-1.2009999999999998	-12.706	-6.872999999999998
CD79A	-4.26	-10.899	-1.84	-19.829	-8.492	-12.857000000000001	-10.96	-3.432	-0.365	-11.558	0.33799999999999997	-5.263	-1.757	-11.199000000000002	-9.72	-5.23	-2.2030000000000003	-15.36
CD79B	-19.99	-19.258	-18.179	-15.673	-19.378	-27.421999999999997	-9.266	-23.225	-16.738	-11.814	-18.643	-22.759	-8.556000000000001	-8.677999999999999	-17.292	-13.927999999999999	-9.811	-12.575
CD80	-10.258	-12.3	-14.125	-17.559	-9.588	-18.285999999999998	-10.921	-13.535	-8.572000000000001	-16.108	-17.736	-21.287	-3.2880000000000003	-10.327	-5.84	-9.37	-15.716	0.496
CD81	-20.032	-17.113	-9.847	-10.853	-19.011	-17.488	-7.612	-19.932000000000002	-14.204	-25.499000000000002	-20.838	-19.451	-1.232	-17.623	-14.645	-14.898	-18.442	-21.872
CD82	-21.588	-15.443	-25.137	-12.72	-15.863	-20.298	-12.946	-19.469	-17.222	-20.255	-20.524	-16.480999999999998	-10.775	-14.931	-15.133	-10.472000000000001	-16.422	-18.807
CD83	0.552	-6.995	-1.5619999999999998	0.322	-8.16	-6.9879999999999995	-5.7139999999999995	-10.293	-6.638999999999999	-3.075	-4.696000000000001	-13.222999999999999	-7.397	-4.9239999999999995	-3.395	-6.381	-10.732000000000001	-9.353
CD84	-19.934	-16.528	-14.582	-13.329	-16.733	-18.657	-17.820999999999998	-18.08	-20.886	-16.382	-16.511	-20.945999999999998	-9.315	-14.45	-9.26	-12.628	-11.364	-12.011
CD86	-14.941	-12.281	-11.36	-5.334	-7.06	-17.325	-9.029	-14.234000000000002	-15.752	-15.738	-15.83	-20.096	-5.944	-15.539000000000001	-12.985999999999999	-8.497	-8.251	-8.644
CD8A	-17.334	-5.787000000000001	-10.344	-21.19	-16.619	-19.799	-9.886000000000001	-27.166999999999998	-14.179	-11.772	-25.085	-26.93	-14.493	-24.135	-19.799	-24.541999999999998	-19.476	-19.573
CD8B	9.768	7.227	9.989	19.02	11.174000000000001	10.594000000000001	5.678	8.76	0.501	-2.318	1.2329999999999999	-0.43700000000000006	11.034	4.162	1.999	1.715	-7.985	15.023
CD9	-20.05	-8.927999999999997	-16.484	-12.355	-18.324	-8.309	-9.467	-12.455	-12.342	-19.563	-14.763	-12.504000000000001	-8.07	-16.796	-6.432	-6.315	-16.199	-7.485
CD93	-30.716	-15.630999999999998	-35.646	-10.422	-21.73	-28.438000000000002	-24.644000000000002	-32.688	-30.795	-27.462	-31.932	-29.241999999999997	-11.097999999999999	-25.855	-25.250999999999998	-24.855	-20.72	-32.017
CD96	-14.435	-13.368	-15.932	-15.0	-17.63	-17.115	-9.582	-24.447	-17.51	-17.529	-18.961	-20.741999999999997	-9.516	-15.349	-6.862	-20.951999999999998	-14.297	-8.04
CD97	-13.161	-11.139	-3.366	-12.744000000000002	-7.205	-12.404000000000002	-17.641	-13.258	-7.099	-4.072	-12.829	-15.249	-16.392	-11.216	-10.589	-14.327	-4.473	-15.16
CD99L2	-12.853	-12.75	-8.307	-6.233	-11.558	-19.848	-14.937999999999999	-15.800999999999998	-11.286	-16.521	-11.77	-25.285999999999998	-4.837	-22.648000000000003	-11.827	-11.677999999999999	-21.595	-30.479
CDA	-21.901	-15.164	-18.615	-15.906	-19.112000000000002	-20.308	-14.384	-14.889000000000001	-11.593	-14.869000000000002	-15.107999999999999	-19.989	-7.0489999999999995	-23.901999999999997	-14.036	-10.433	-12.923	-6.41
CDADC1	-21.362	-10.288	-15.577	-16.752	-20.748	-9.252	-8.984	-22.584	-27.526999999999997	-11.513	-20.896	-21.819000000000003	-14.093	-19.023	-14.052	-9.801	-21.491999999999997	-14.027
CDAN1	-16.256	-23.587	-21.766	2.3040000000000003	-11.004000000000001	-16.544	-11.505999999999998	-22.191	-24.372	-14.630999999999998	-21.498	-24.88	-14.547	-8.224	-6.641	-0.136	-24.695999999999998	-21.903
CDC123	68.074	33.449	72.686	44.549	42.935	44.195	47.034	62.056000000000004	46.75899999999999	42.04600000000001	54.617	68.558	30.874000000000002	37.052	32.273	47.825	50.055	50.313
CDC14A	-1.907	-13.376	-11.452	-3.835	-12.312000000000001	-4.874	-3.9819999999999998	-13.075	-9.76	-10.142999999999999	-6.065	-12.491	-12.857999999999999	-11.042	-8.514	-7.659	-16.801	-9.755
CDC14B	-12.73	1.6669999999999998	-16.749000000000002	-3.679	-10.455	-15.984000000000002	-11.317	-17.500999999999998	-13.052999999999999	-14.682	-19.684	-23.366999999999997	-17.61	-15.89	-5.8260000000000005	-16.827	-10.172	-16.543
CDC16	39.532	17.968	34.994	14.864	29.283	39.833	33.189	44.316	24.587	23.881	13.378	35.433	23.614	22.566999999999997	20.396	21.881999999999998	20.174	41.368
CDC20	28.651	15.657	14.65	6.564	14.263	22.535	27.590999999999998	36.775	25.738000000000003	18.569000000000003	21.725	38.512	5.02	13.655999999999999	3.978	13.605	20.564	29.314
CDC20B	-9.598	-9.502	-16.576	-11.052	-6.086	-7.6739999999999995	-8.241	-7.381	-14.197000000000001	-11.468	-18.064	-23.083000000000002	-11.345	-1.732	-17.009	-6.071000000000001	-11.472000000000001	-15.098
CDC23	27.159	10.35	31.994	14.154000000000002	24.395	29.426	27.926	50.412	8.392999999999999	30.9	24.415	42.23	16.297	17.372	5.085	21.004	16.811	25.698
CDC25A	-10.093	-15.858	-5.188	-9.319	-3.608	0.187	5.79	-2.309	-5.584	-11.762	-19.072	-13.527999999999999	-4.034	-22.675	0.122	-1.538	-4.103	-5.7120000000000015
CDC25B	-8.213	-13.83	-19.214	-7.655	-14.421	-5.94	-10.712	-11.645999999999999	-0.813	-13.890999999999998	-10.504000000000001	-18.782	-16.19	-13.543	-0.185	-9.395	-5.648	-5.195
CDC25C	-30.427	-12.682	-32.184	-22.272	-17.807000000000002	-14.978	-19.234	-26.29	-21.733	-16.339000000000002	-28.53	-25.101	-9.255	-17.442999999999998	-17.822	-18.915	-24.311999999999998	-29.166
CDC26	11.202	3.631	12.031	7.524	13.465	27.070999999999998	2.7239999999999998	8.757	4.906000000000001	15.617	4.933	9.861	2.404	-2.455	19.105	3.68	12.484000000000002	5.477
CDC27	48.607	34.41	36.102	9.987	31.178	32.211	15.894	29.865	23.991	27.351	31.107	35.486	3.533	21.043000000000003	25.855999999999998	30.915	20.949	29.398000000000003
CDC34	-12.58	-11.091	-5.134	-18.062	-9.433	-18.526	-15.055	-13.727	-2.475	-12.649000000000001	-13.25	-19.893	-1.2329999999999999	-3.148	-5.18	-8.346	-4.5569999999999995	-9.229
CDC37	40.68	19.719	47.427	19.249	23.633000000000003	23.129	14.630999999999998	36.483000000000004	28.44	27.988000000000003	41.387	46.413999999999994	21.414	34.14	26.348000000000003	39.328	36.657	38.516
CDC37L1	-16.35	-10.163	-20.495	-26.629	-19.342	-15.185	-9.474	-14.075	-15.417	-14.065	-17.067999999999998	-21.29	-11.564	-11.492	-18.423	-13.186	-18.75	-18.427
CDC40	22.095	21.201	14.899	8.902999999999997	21.252	28.549	12.253	8.878	8.685	17.36	17.956	29.219	11.995999999999999	29.53	13.36	25.585	5.821000000000001	24.892
CDC42	26.496	-3.871	33.704	-0.402	-0.825	18.92	11.379000000000001	26.461	17.925	19.803	20.796	38.497	2.441	7.5760000000000005	10.735999999999999	12.277999999999999	8.655	25.197
CDC42BPA	-14.277	-10.719	-16.39	-13.286	-15.292	-11.033	-13.049000000000001	-13.085999999999999	-14.889000000000001	-15.057	-15.082	-19.605	-14.46	-15.495	-12.245	-9.664	-13.19	-19.375
CDC42BPB	-22.149	-12.300999999999998	-29.968000000000004	-17.482	-17.993	-25.057	-10.76	-24.426	-22.48	-27.8	-19.664	-24.355	-12.708	-19.887999999999998	-8.371	-20.668000000000003	-17.076	-29.214
CDC42BPG	-6.081	-2.512	-8.718	-6.856	-4.636	-4.248	-10.06	-12.690999999999999	-10.731	-5.632999999999999	-7.7	-14.193	-2.503	-11.263	-11.617	-5.751	-6.053999999999999	-11.677
CDC42EP1	-22.798	-17.469	-20.478	-12.518	-12.058	-21.936	-24.233	-26.302	-22.099	-17.109	-23.389	-18.202	-13.0	-13.734000000000002	-2.7969999999999997	-29.788	-17.906	-33.11
CDC42EP2	-2.462	-9.334	-2.475	-5.43	-3.99	-7.367999999999999	-8.289	-10.061	-8.16	-11.761	-8.76	-9.318	-7.724	-4.91	-10.433	-7.266	-6.803999999999999	-5.55
CDC42EP3	-15.523	-4.885	-15.758	-9.453	-11.524000000000001	-17.865	-11.689	-11.362	-14.065	-15.585999999999999	-19.535999999999998	-23.066	-11.639000000000001	-14.882	-10.517999999999999	-15.328	-11.879000000000001	-21.089
CDC42EP4	-3.235	-7.747999999999998	-13.82	-13.827	-14.474	-15.540999999999999	-4.574	-11.214	-11.109000000000002	-5.388999999999999	-14.735	-16.944000000000003	3.967	-6.156000000000001	-6.473	-5.531000000000001	-4.823	-6.324
CDC42EP5	-9.086	-18.229	-9.289	-17.5	-6.479	-16.613	-16.35	-17.699	-13.362	-16.337	-14.142000000000001	-13.12	-6.084	-8.655	-19.29	-13.841	-13.504000000000001	-12.305
CDC42SE1	-12.247	-10.218	-13.686	-11.433	-13.844000000000001	-7.277	-5.872999999999999	-10.654000000000002	-8.96	-13.924000000000001	-14.25	-10.089	-4.996	-5.813	-11.793	-9.19	-4.853	-11.336
CDC42SE2	-21.728	-13.642	-20.441	-12.684	-18.644000000000002	-14.385	-20.15	-19.747	-17.562	-10.934000000000001	-20.169	-26.868000000000002	-13.875	-14.584000000000001	-5.903	-13.29	-11.788	-22.31
CDC45	46.75	14.603	46.724	17.212	30.965999999999998	22.166999999999998	18.987000000000002	37.86	33.156	27.991999999999997	39.804	35.711999999999996	24.173000000000002	26.621	25.129	26.427	33.566	46.319
CDC5L	34.081	20.951	48.55	19.155	27.469	29.291	31.64	37.827	24.64	34.954	35.387	41.428999999999995	24.16	19.458	21.445999999999998	24.232	22.638	30.426
CDC6	43.417	17.385	54.213	20.196	29.746	39.533	24.5	51.69	39.003	36.93	37.424	59.324	19.634	36.176	40.404	41.772	31.975	13.633
CDC7	26.603	17.336	40.852	7.6320000000000014	25.381999999999998	26.4	20.865	53.692	15.059000000000001	26.094	23.39	22.601999999999997	4.293	22.261999999999997	17.683	26.281	24.704	23.466
CDC73	34.539	28.627	34.6	42.872	49.498999999999995	31.595	29.576999999999998	45.406000000000006	24.276	42.203	29.816	36.251999999999995	20.622	40.218	21.426	34.41	22.745	19.809
CDCA2	-7.112	-20.076	-0.114	9.429	-2.591	-6.2139999999999995	-0.057	-7.228	-9.219	0.16899999999999998	-4.765	-1.045	-0.355	-0.992	2.945	-4.643	-1.901	3.1260000000000003
CDCA3	11.849	2.045	6.5470000000000015	8.11	1.465	16.112000000000002	17.08	7.946000000000001	12.67	-1.9269999999999998	18.845	11.185	9.977	30.364	21.92	33.625	25.136	13.313
CDCA4	-11.127	-4.98	-8.004	-12.433	-8.975	-1.306	-5.465	-12.617	-20.137999999999998	-15.354000000000001	-8.642999999999999	-16.528	-8.654	-9.597999999999999	-5.3229999999999995	-12.261	-9.89	-8.556000000000001
CDCA5	44.38800000000001	32.273	45.878	27.439	45.657	44.674	36.46	43.13	45.1	45.104	40.794000000000004	59.111000000000004	25.186	57.858999999999995	42.25	37.978	51.577	47.555
CDCA7	-20.401	-11.215	-24.057	-12.283	-20.365	-18.922	-18.91	-23.357	-23.647	-23.284000000000002	-28.228	-27.748	-11.651	-18.349	-13.562999999999999	-15.492	-18.084	-25.863000000000003
CDCA7L	-25.093000000000004	-12.543	-30.721	-11.41	-19.996	-23.003	-14.395	-27.151999999999997	-12.270999999999999	-21.596	-18.99	-25.926	-8.454	-23.495	-15.196	-5.906000000000001	-14.807	-15.135
CDCA8	49.4	48.15	77.042	58.386	53.312	37.677	50.353	42.45399999999999	46.578	52.15	55.163000000000004	58.382	27.413	51.931000000000004	50.728	42.051	57.129	41.76
CDCP1	-18.927	-13.099	-12.383	-15.53	-13.440999999999999	-12.389000000000001	-6.932	-22.351999999999997	-13.449000000000002	-14.12	-15.179	-18.673	-6.585	-10.629000000000001	-9.535	-13.732999999999999	-13.636	-12.843
CDCP2	-15.367	-6.282	-17.719	-16.528	-18.783	-15.059000000000001	-7.869	-11.052999999999999	-9.904	-20.154	-15.286	-12.555	-8.601	-18.726	-10.453	-7.642	-10.835	-16.717
CDH1	-16.268	-17.097	-18.581	-7.134	-15.248	-15.213	-11.31	-11.561	-21.3	-18.521	-18.615	-18.963	-5.946000000000001	-11.797	-8.801	-4.944	-14.942	-11.467
CDH10	-23.689	-12.547	-18.117	-12.69	-19.939	-18.393	-12.759	-21.664	-17.92	-15.314	-21.128	-23.729	-5.09	-23.919	-10.51	-13.773	-17.338	-14.813
CDH11	-25.234	-21.549	-23.509	-15.24	-24.264	-25.438000000000002	-16.384	-29.526999999999997	-24.406999999999996	-26.342	-30.158	-26.203000000000003	-6.986000000000001	-31.881	-10.889000000000001	-17.573	-20.000999999999998	-18.101
CDH12	-17.198	-11.449000000000002	-14.582	-11.39	-17.154	-17.594	-20.333	-24.879	-14.184000000000001	-15.994000000000002	-15.817	-22.122	-11.064	-13.687999999999999	-8.017999999999999	-25.732	-19.658	-16.011
CDH13	-23.984	-12.327	-29.057	-13.963	-13.354000000000001	-15.880999999999998	-17.026	-24.941999999999997	-20.448	-20.84	-19.83	-18.602	-12.311	-11.29	-10.748	-11.86	-14.968	-15.414
CDH15	-9.734	-12.01	-10.207	8.468	-10.972000000000001	-4.921	1.131	-6.439	-8.043	-12.532	-2.773	0.295	2.3040000000000003	-3.575	-2.524	0.255	2.024	-3.874
CDH16	-11.446	-5.303	-18.14	-8.876	-9.886000000000001	-5.496	-8.351	-7.101	-10.537	-14.456	-11.140999999999998	-4.952	-0.971	-11.588	-4.756	-0.9229999999999999	-10.732999999999999	-9.066
CDH17	-19.125	-17.070999999999998	-17.409000000000002	-14.829	-5.938	-21.528000000000002	-20.302	-11.921	-21.875999999999998	-6.569	-17.29	-20.596999999999998	-3.7089999999999996	-16.265	-11.735	-16.57	-14.953	-20.697
CDH18	-19.775	-4.1530000000000005	-16.378	-14.358	-4.742	-14.0	-9.636000000000001	-15.115	-6.952000000000001	-15.635	-14.377	-22.892	-6.777	-15.675	-5.183	-12.81	-13.504000000000001	-13.771
CDH19	-21.216	-8.514	-28.884	-17.337	-27.48	-26.892	-13.815999999999999	-24.699	-24.416999999999998	-22.421999999999997	-21.021	-36.774	-13.089	-27.253	-8.169	-13.18	-21.198	-14.274
CDH2	-1.663	-15.644	3.094	-18.003	-2.758	-12.569	-10.470999999999998	0.282	-7.672000000000001	-8.988	3.522	-3.403	0.997	-8.232000000000001	-0.7809999999999999	7.442	-5.457000000000001	18.344
CDH20	-31.98	-13.178	-24.652	-22.603	-22.066	-21.91	-16.588	-23.364	-25.934	-13.12	-12.257	-22.522	-18.032	-12.12	-6.056	-8.306000000000001	-18.067999999999998	-17.852
CDH22	-14.92	-12.97	-19.695	-7.661	-10.369000000000002	-13.504000000000001	-5.337000000000001	-17.772000000000002	-3.7489999999999997	-12.392000000000001	-16.137	-15.88	-17.090999999999998	-7.897	-11.421	-6.752000000000001	-11.995999999999999	-3.982
CDH23	-18.912	-18.649	-8.548	-21.087	-17.119	-18.442999999999998	-14.224	-18.77	-12.959000000000001	-11.171	-9.671	-18.271	-9.856	-12.862	-11.864	-19.819000000000003	-10.424000000000001	-23.878
CDH24	-21.178	-12.469	-19.851	-16.883	-13.169	-16.432000000000002	-13.634	-21.844	-17.67	-21.225	-22.913	-21.436	-4.319	-17.115	-10.411	-16.349	-21.0	-20.798
CDH26	-23.747	-10.011	-10.552	-12.396	-15.038	-21.944000000000003	-18.162	-19.092	-14.751	-18.51	-24.779	-24.862	-16.291	-16.913	-6.117999999999999	-17.114	-15.172	-16.215
CDH3	-10.302	-16.014	-26.375	-16.867	-7.109	-18.205	-18.628	-13.325	-14.997	-14.175	-18.762	-19.694000000000003	-3.8110000000000004	-10.76	-14.277000000000001	-11.788	-16.85	-4.387
CDH4	-27.871	-22.393	-23.425	-20.024	-18.262999999999998	-28.153000000000002	-24.124000000000002	-23.594	-23.872	-20.678	-23.973000000000003	-33.123000000000005	-12.383	-21.17	-15.055	-18.99	-25.825	-24.407
CDH5	-23.173	-15.501	-22.37	-13.196	-21.338	-17.570999999999998	-15.572000000000001	-25.158	-21.465999999999998	-22.513	-21.351999999999997	-26.83	-12.352	-18.08	-10.582	-16.951	-14.532	-14.828
CDH6	-18.206	-9.691	-23.27	-14.32	-17.999000000000002	-14.092	-21.668000000000003	-15.205	-10.189	-11.886	-13.352	-20.46	-6.99	-18.58	-10.747	-17.896	-16.594	-16.47
CDH7	-19.781	-7.367000000000001	-24.258000000000006	-19.543	-11.245	-21.68	-8.142999999999999	-17.598	-15.457	-12.227	-15.889000000000001	-19.262	-9.587	-15.958	-3.645	-11.142999999999999	-11.073	-2.738
CDH8	-24.039	-19.553	-28.612	-15.696	-16.967	-20.54	-6.982	-15.479000000000001	-25.561999999999998	-24.923000000000002	-21.269000000000002	-23.513	-13.883	-19.133	-14.589	-17.014	-21.776	-19.357
CDH9	-8.647	-11.98	-10.767	-5.265	-14.918	-16.73	-15.789000000000001	-12.472000000000001	-12.925999999999998	-5.102	-17.882	-24.34	-12.237	-12.513	-10.07	-11.642000000000001	-13.966	-5.041
CDHR1	-18.044	-11.191	-23.851	-15.163	-20.838	-14.917	-11.693	-17.938	-7.946000000000001	-16.14	-14.985	-16.695999999999998	-12.515	-12.794	-11.415	-16.227	-12.958	-19.31
CDHR2	-11.173	-0.8029999999999999	-10.632	-0.513	-8.145	-9.862	-11.338	-16.339000000000002	-10.519	-11.844000000000001	-10.843	-6.667000000000001	-6.0360000000000005	-9.274	2.36	-9.259	0.05	-11.916
CDHR3	-14.720999999999998	-11.869000000000002	-24.77	-9.646	-13.455	-25.011999999999997	-17.241	-20.721	-13.637	-16.567	-17.698	-20.206	-13.107999999999999	-13.267999999999999	-11.919	-8.0	-7.6739999999999995	-21.185
CDHR4	-12.728	-9.554	-9.847	-5.955	-14.467	-1.609	-6.231	-5.9639999999999995	-10.099	-7.965	-8.302999999999999	-17.421	-16.755	-11.459000000000001	-11.800999999999998	4.879	-9.292	-18.387
CDHR5	-20.147	-12.94	-19.796	-20.093	-10.875	-14.488	-12.044	-17.375	-16.887	-18.15	-9.917	-18.346	-10.877	-2.699	-9.34	-11.875	-19.072	-15.574000000000002
CDIP1	-17.479	-5.654	-7.2120000000000015	-8.67	-12.254000000000001	-2.083	-9.593	-18.586	-7.188	-12.270999999999999	-5.773	-8.177999999999999	-9.654	-7.562	-7.246	-11.373	-6.524	-27.429
CDIPT	49.258	42.058	39.065	48.37600000000001	34.624	30.276	36.192	44.449	24.311	35.302	31.011999999999997	54.699	24.839000000000002	34.282	28.811999999999998	36.144	46.948	86.821
CDK1	50.599	48.798	84.402	47.908	50.818999999999996	59.075	56.864	76.382	51.993	62.343999999999994	67.123	69.99600000000001	11.784	31.354	21.991999999999997	11.968	32.577	36.709
CDK10	-0.617	-4.225	-12.447	4.9110000000000005	-2.526	-2.231	-1.722	-10.023	-1.35	-6.7170000000000005	-8.315	-3.9760000000000004	15.85	4.013999999999999	1.054	4.728	-5.986000000000001	-0.39
CDK11A	36.71	24.24	35.43199999999999	28.516	23.916	31.111	24.52	31.374000000000002	28.74	22.701	38.485	29.079	16.38	38.873000000000005	24.698	21.64	16.165	12.297
CDK12	26.084	9.423	26.834	22.765	18.615	23.02	28.683000000000003	21.778000000000002	21.2	26.365	27.495	36.005	11.687999999999999	30.656	17.348	18.24	29.333000000000002	47.28
CDK13	-38.604	-20.993	-45.63	-25.581	-32.727	-5.745	-12.806	-29.17	-37.844	-22.877	-34.453	-17.899	-13.690999999999999	-25.826	-25.425	-28.858	-27.374000000000002	-36.815
CDK14	-26.713	-11.795	-22.886	-13.04	-20.601	-25.271	-12.870999999999999	-27.160999999999998	-14.179	-23.476999999999997	-17.224	-30.848000000000003	-17.331	-18.965	-17.425	-15.607000000000001	-14.558	-11.789
CDK15	-15.839	-12.027	-24.255	-10.584	-15.943	-14.19	-11.66	-19.729	-16.351	-20.873	-20.26	-27.807	-9.238999999999999	-16.287	-15.363	-18.962	-15.254000000000001	-22.365
CDK16	-18.434	-12.323	-14.894	-6.4060000000000015	-13.905	-14.501	-10.307	-17.342	-16.117	-20.119	-12.125	-24.499000000000002	-14.433	-16.480999999999998	-9.277000000000001	-8.818	0.124	-23.311
CDK17	-21.728	-10.577	-27.939	-7.995	-23.774	-13.79	-17.56	-21.21	-28.158	-15.675	-20.128	-20.759	-8.317	-10.76	-7.693	-22.375999999999998	-7.585	-29.403
CDK18	-6.17	-9.769	-13.19	-4.183	-9.219	-3.9539999999999997	-4.2	-22.217	-12.077	-10.481	-8.78	-7.108	-0.8690000000000001	-8.658999999999999	-3.833	-16.935	-15.758	-10.699000000000002
CDK19	-18.185	-12.894	-16.615	-16.433	-17.351	-15.413	-17.496	-27.274	-13.556	-21.904	-25.043000000000003	-26.59	-15.664000000000001	-16.933	-13.109000000000002	-21.153000000000002	-16.069000000000003	-15.759
CDK2	-1.236	-2.397	8.145	0.279	13.524000000000001	17.315	10.422	12.669	10.475999999999999	-2.37	12.181	0.9	1.196	-0.773	-0.9159999999999999	-7.6370000000000005	15.606	6.687
CDK20	-20.419	-13.296	-20.178	-11.326	-18.715	-12.241	-2.65	-24.592	-15.402999999999999	-11.394	-24.636999999999997	-20.316	-8.507	-13.091	-9.216000000000001	-10.575	-16.044	-30.401
CDK2AP1	7.9860000000000015	5.992000000000001	-0.173	-1.071	5.974	5.313	13.181	7.898	-2.531	2.0580000000000003	2.9210000000000003	-0.354	7.324	4.623	8.238999999999999	9.02	13.104000000000001	5.461
CDK2AP2	2.47	10.778	0.617	-2.761	3.11	-1.228	-6.934	6.997999999999999	2.423	1.798	1.315	-1.114	-9.033999999999999	5.931	2.6689999999999996	-5.103	-3.7460000000000004	3.824
CDK3	-14.296	-4.59	-1.661	-11.629	-15.459000000000001	-9.435	-1.8019999999999998	-11.277000000000001	-6.388	0.086	-2.485	-5.47	8.184	3.023	2.891	0.252	-2.925	-6.233
CDK4	-0.044	-2.98	-3.428	-3.952	-0.8079999999999999	-6.209	-0.233	-6.853	-8.587	-5.779	-7.779	-8.502	-0.595	6.471	3.575	-3.682	3.3	-2.188
CDK5	-20.938	-6.5710000000000015	-17.137	-7.635	-16.285	-13.934000000000001	-11.422	-16.459	-8.657	-14.735	-16.985	-21.128	-3.17	-8.057	-5.532	-27.424	-18.803	-24.405
CDK5R1	-8.347999999999999	-8.526	-14.79	-18.375	-8.931000000000001	-17.397000000000002	-5.947	-11.335999999999999	-11.988	-6.69	-7.3420000000000005	-7.281000000000001	-2.665	-2.0069999999999997	-9.55	-9.213	0.922	-6.977
CDK5R2	-12.99	-11.845	-18.73	-5.221	-13.527000000000001	-22.596	-13.662	-14.232000000000001	-21.11	-24.074	-21.375	-21.305999999999997	-11.585999999999999	-19.895	-9.142000000000001	-15.549000000000001	-15.741	-24.689
CDK5RAP1	-13.28	-0.731	-18.984	-8.089	-13.177999999999999	-16.772000000000002	-14.373	-15.914000000000001	-13.339	-12.383	-12.716	-26.539	-6.275	-18.455	-7.0520000000000005	-11.407	-15.136	-13.712
CDK5RAP2	-17.854	-8.317	-25.63	-5.4670000000000005	-17.647000000000002	-24.105999999999998	-12.788	-24.842	-9.929	-10.57	-19.1	-13.912	-4.626	-16.125	-7.843	-14.179	-21.99	-24.465
CDK5RAP3	-14.272	-10.876	-19.812	-9.167	-18.416	-8.002	-10.589	-16.958	-14.09	-9.086	-16.224	-21.031999999999996	0.706	-1.861	1.609	-12.742	6.301	-6.354
