GENE	293A_WT_T22_AB_XF498	293A_LKB1_T22_AB	293A_PTEN_T22_AB	293A_VHL_T22_AB	293A_BAP1NUMBER2_16_T25_AB	293A_CDH1NUMBER2_15_T24_AB	293A_NF2NUMBER2_3_T24_AB	293A_WT_T21_AB_XF646	293A_PBRM1_T25_AB	293A_SETD2_T24_AB	293A_WT_T20_AB_XF804	293A_ARID1A_T21_AB	293A_NF1_T24_AB	293A_RB1_T21_AB	293A_TP53_T21_AB	293A_WT_T21_AB_XF821	293A_KEAP1_T22_AB	293A_g53BP1#1_T22_AB
MRPL16	-10.474	-5.666	-5.711	-5.231	-10.319	-13.855	-9.18	-11.482000000000001	-14.415999999999999	-17.619	-12.821	-4.396	1.475	-7.66	-0.88	-12.408	-11.130999999999998	0.431
MRPL17	14.994000000000002	11.979	19.828	9.671	12.454	7.962000000000001	12.362	10.817	10.204	2.166	15.276	7.492000000000001	8.945	17.199	16.314	23.682	23.195999999999998	8.605
MRPL18	18.213	15.27	19.872	4.138	21.186999999999998	4.6739999999999995	6.0360000000000005	18.423	19.902	10.765	16.102999999999998	19.383	3.97	2.938	11.062000000000001	11.299000000000001	11.429	16.549
MRPL19	-1.102	8.379	-5.86	12.08	2.9960000000000004	-7.9670000000000005	1.8230000000000002	-2.8739999999999997	5.2829999999999995	-7.518	-5.891	-3.9	-7.831	4.08	-2.8819999999999997	-3.3680000000000003	-0.17800000000000002	13.242
MRPL2	22.111	18.811	24.968000000000004	19.767	17.019000000000002	14.59	11.425	23.584	14.607000000000001	14.664000000000001	18.666	9.918	13.222000000000001	12.61	12.3	19.5	16.621	20.778
MRPL20	-1.408	0.7709999999999999	-1.773	1.727	-6.968999999999999	0.68	-6.815	1.601	0.18100000000000002	-5.166	5.011	-4.736000000000001	-4.177	9.296	-4.843999999999999	0.615	-4.586	6.877000000000002
MRPL21	37.507	22.308000000000003	34.676	19.034	19.701	23.281999999999996	21.425	38.861999999999995	25.38	22.021	34.797	21.268	12.269	21.36	17.769000000000002	10.982000000000001	18.691	23.572
MRPL22	29.817	18.956	23.875	18.359	13.206	11.802999999999999	16.465999999999998	24.052	14.478	18.485	23.95	16.937	10.9	13.885	8.381	28.529	17.070999999999998	16.601
MRPL23	-18.291	1.473	-9.519	-2.205	-11.700999999999999	-15.502	-11.469000000000001	-13.84	-10.814	-12.577	-20.264	-22.151	1.9269999999999998	-9.477	-13.297	-6.986000000000001	-13.818	-20.598000000000006
MRPL24	11.322	10.542	39.573	12.64	14.628	14.63	14.914000000000001	19.352	8.867	6.8229999999999995	18.413	10.297	10.905999999999999	2.716	6.096	16.192	26.715	10.178
MRPL27	10.036	9.13	21.182	-0.931	7.926	8.271	11.147	7.617000000000001	8.894	6.401	13.139000000000001	-0.816	22.013	12.213	1.8019999999999998	2.101	15.418	-3.428
MRPL28	58.737	36.362	56.106	39.531	43.846000000000004	44.75899999999999	35.157	53.382	36.897	41.839	43.785	53.172	31.647	31.115	29.994	37.777	33.91	34.175
MRPL3	19.148	26.358	22.493	18.122	15.911	14.213	8.066	22.301	5.932	14.630999999999998	23.819000000000003	13.772	3.6210000000000004	16.374000000000002	9.395	9.373	4.1080000000000005	29.893
MRPL30	-11.417	-10.827	-18.669	-10.685	-12.454	-13.504000000000001	-6.773	-15.107999999999999	-12.084000000000001	-15.950999999999999	-10.870999999999999	-18.618	-13.099	-16.637999999999998	-9.745	-18.222	-21.9	-24.446
MRPL32	-10.194	-13.265999999999998	-8.054	-7.643	0.917	-14.344000000000001	-4.44	-13.718	-14.618	-12.835	-10.439	-21.247	-10.350999999999999	-6.813	-7.6339999999999995	-5.247000000000001	-15.628	-15.925
MRPL33	33.447	35.576	53.449	24.944000000000006	38.528	19.44	25.21	42.476000000000006	33.131	29.941	33.933	37.722	14.728	29.342	20.659000000000002	21.311	19.029	32.537
MRPL34	43.26300000000001	32.9	67.5	18.807	52.512	19.957	18.430999999999997	35.833	31.901	41.746	35.835	39.445	7.1979999999999995	26.875999999999998	11.322000000000001	19.164	17.654	7.197
MRPL35	36.726	6.0070000000000014	26.646	25.671	20.76	20.105	28.614	23.244	17.081	10.982999999999999	29.873	31.861	16.153	31.656	13.402999999999999	17.699	30.753	17.234
MRPL36	2.697	0.396	1.454	3.0460000000000003	-0.649	6.598	2.903	2.7689999999999997	1.706	-1.9409999999999998	-2.6010000000000004	1.9080000000000001	-4.53	-0.57	-0.992	6.188	0.75	15.688
